hex_id,bike_track_m,bike_lane_m,cyclestreet_m,road_length_m,n_ubahn_stops,n_sbahn_stops,n_tram_stops,n_bus_stops,n_bike_shops,n_bike_repair,n_bike_parking,n_bike_rental,n_traffic_signals,n_restaurants,n_cafes,n_shops,n_supermarkets,n_offices,n_schools,n_universities,n_parks,dist_hauptbahnhof_m,dist_alexanderplatz_m,has_ubahn,has_sbahn,has_tram,has_bus
1186,0.0,0.0,5.49,4716.19,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,18066.117415037534,14474.334454772157,0,0,0,1
1187,0.0,0.0,0.0,1875.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18508.172463851195,15061.126778873204,0,0,0,0
1188,0.0,0.0,0.0,529.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18979.470420679558,15673.822819913332,0,0,0,0
1189,1300.56,213.5,78.08,6044.93,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,22219.92675191386,18372.763441889852,0,0,0,1
1190,374.26,400.93,430.83,3977.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21648.163764120996,17709.873473076594,0,0,0,0
1191,302.29,747.45,454.68,4424.38,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,7.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,21096.465198130158,17065.192655609037,0,0,0,1
1192,0.0,21.06,186.93,2879.16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20566.445812384278,16440.863186396942,0,0,0,0
1193,591.75,201.63,0.0,4690.01,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,4.0,7.0,2.0,34.0,1.0,14.0,0.0,0.0,0.0,20059.824098218356,15839.29178513043,0,0,1,1
1194,1424.51,348.74,778.15,4465.47,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19578.416492384935,15263.169598588547,0,0,1,0
1195,1079.33,0.0,30.67,2149.19,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19124.12721791632,14715.485997274773,0,0,1,0
